"ipcc","itinerary_ref","method","provider_branded_fares_count","request_body","request_headers","requested_at","response_body","status","time_in_ms","type","url","wego_ref","order_id","branded_fare_id","ms_fare_id","queue_number","error","file","host","message","source_type","tag","timestamp","date"
,,"GET","0",,"[{name=Accept-Language, value=ar}, {name=traceparent, value=00-69daa5f200000000559a92637d3eded4-65a6b7c27bfd9653-00}, {name=tracestate, value=dd=s:0;p:65a6b7c27bfd9653;t.tid:69daa5f200000000}, {name=User-Agent, value=Wego wego-fares}, {name=x-datadog-parent-id, value=7324743889896445523}, {name=x-datadog-sampling-priority, value=0}, {name=x-datadog-tags, value=_dd.p.tid=69daa5f200000000}, {name=x-datadog-trace-id, value=6168403595638005460}, {name=X-Request-ID, value=c8d40186-1644-47eb-885d-01a6749d8060}]","2026-04-11 19:50:10Z","{""createdAt"":""2026-04-11T19:49:57.86534Z"",""approved"":true,""client"":{""name"":""Wego BoW (Flights)""},""partner"":{""name"":""Checkout""},""route"":{""partnerAccount"":{""name"":""Wego Egypt"",""code"":""wego_eg""}},""source"":{""sourceRef"":""s006y2ucvw"",""type"":""Card"",""bin"":""53415255"",""last4"":""0752"",""scheme"":""Mastercard"",""cardType"":""PREPAID"",""cardCategory"":""CONSUMER"",""issuer"":""BANQUE DU CAIRE"",""issuerCountry"":""EG"",""productId"":""MPG"",""productType"":""Prepaid Mastercard Unembossed US"",""name"":""SABER"",""expiryMonth"":4,""expiryYear"":2026},""threeDsEnabled"":true,""method"":{""code"":""masc"",""name"":""Mastercard""},""customer"":{""email"":""mhmdnbylbd6@gmail.com"",""fullName"":""ABDELALIM YASSEIN""},""partnerPaymentRef"":""pay_z3coq6iboaiipn7ltpyeqcnhry"",""status"":""Authorized"",""orderRef"":""WF-DF4F7214-D00D-4E51-B7A2-AF67CCD9C66F"",""paymentRef"":""py609jmwhj"",""siteCode"":""EG"",""currencyCode"":""EGP"",""bookingRef"":""WFSZ3FR9XG726"",""actions"":[{""createdAt"":""2026-04-11T19:49:57.876751Z"",""requestId"":""e29094ca-55bd-4688-8ea4-8573685491ca"",""partnerResponseCode"":""10000"",""partnerResponseText"":""Approved"",""approved"":true,""acquirerMeta"":{""retrievalReference"":""610119266211""},""actionRef"":""a99x9009zxnnbv8"",""orderRef"":""WF-DF4F7214-D00D-4E51-B7A2-AF67CCD9C66F"",""type"":""Authorization"",""amount"":7399.58,""amountInCents"":739958}],""amount"":7399.58,""amountInCents"":739958}","200","41","GET_PAYMENT_DETAILS","https://payments-alb.production.us-east-1.bezurk.org/payments/v1/pm/py609jmwhj","py609jmwhj","py609jmwhj",,"ac8c74096bdf95a4msr:eg.a.wego.com:b943af083b2e5391:ss",,,,,,,,,"20260412"
"ZM2L",,"POST","0","{""contact"":{""email"":""mhmdnbylbd6@gmail.com"",""fullName"":""ABDELALIM YASSEIN"",""phoneNumber"":1125827377,""phonePrefix"":20,""countryCode"":""EG"",""allowShare"":true},""itinerary"":{""posProviderCode"":""eg.a.wego.com"",""providerCode"":""a.wego.com"",""msSearchId"":""ac8c74096bdf95a4msr:eg.a.wego.com:b943af083b2e5391:ss"",""msFareId"":""ac8c74096bdf95a4msr:eg.a.wego.com:b943af083b2e5391:ss"",""msTripId"":""ac8c74096bdf95a4msr:PC583~24~0335~0545"",""msClickId"":""17f06adf6a65460eb40165c547d3c089"",""airlinePnr"":null,""ipcc"":""ZM2L"",""fareIpcc"":""ZM2L"",""alternateIpccs"":null,""accountCode"":null,""gdsRef"":null,""ticketStatus"":""IN_PROGRESS"",""legs"":[{""segments"":[{""segmentId"":""SPX:SAW:PC:583"",""bookingCode"":""U"",""fareBasisCode"":null,""cabinType"":""ECONOMY"",""allianceCode"":""lcc"",""departureSchedule"":{""airportCode"":""SPX"",""dateTime"":""2026-04-24T03:35:00+03:00[Africa/Cairo]"",""terminal"":null},""arrivalSchedule"":{""airportCode"":""SAW"",""dateTime"":""2026-04-24T05:45:00+03:00[Europe/Istanbul]"",""terminal"":null},""marketingCarrier"":{""airlineCode"":""PC"",""flightNumber"":""583""},""operatingCarrier"":{""airlineCode"":""PC"",""flightNumber"":""583""},""aircraftCode"":""321"",""marriageGroup"":""O"",""departureAirportCode"":""SPX"",""scheduledDepartureDateTime"":1776990900.000000000,""technicalStops"":[],""seats"":[],""meals"":[],""baggages"":[]}],""departureAirportCode"":""SPX"",""scheduledDepartureDateTime"":1776990900.000000000,""arrivalSchedule"":{""airportCode"":""SAW"",""dateTime"":""2026-04-24T05:45:00+03:00[Europe/Istanbul]"",""terminal"":null},""departureSchedule"":{""airportCode"":""SPX"",""dateTime"":""2026-04-24T03:35:00+03:00[Africa/Cairo]"",""terminal"":null}}],""validatingAirlineCode"":""PC"",""tripType"":""ONEWAY"",""domesticFlight"":false,""brandedFare"":{""id"":""9edeb650-8b1d-39e0-9808-a73334c1bb55"",""legId"":null,""bookingIpcc"":""ZM2L"",""msFareId"":""ac8c74096bdf95a4msr:eg.a.wego.com:b943af083b2e5391:ss"",""type"":""PUBLISHED"",""accountCode"":null,""refundType"":""NON_REFUNDABLE"",""tags"":[{""type"":""CASHBACK"",""attributes"":{""cap"":100.0,""percent"":0.5,""currencyCode"":""EGP""}}],""penalties"":[{""type"":""CANCEL"",""applicableType"":null,""doable"":false,""amount"":0.0,""amountUsd"":0.0,""currencyCode"":null,""applicability"":""Before"",""changeable"":false,""refundable"":false,""cat16Info"":false,""conditionsApply"":false},{""type"":""CANCEL"",""applicableType"":null,""doable"":false,""amount"":0.0,""amountUsd"":0.0,""currencyCode"":null,""applicability"":""After"",""changeable"":false,""refundable"":false,""cat16Info"":false,""conditionsApply"":false},{""type"":""EXCHANGE"",""applicableType"":null,""doable"":true,""amount"":2394.0,""amountUsd"":0.0,""currencyCode"":""EGP"",""applicability"":""Before"",""changeable"":true,""refundable"":false,""cat16Info"":false,""conditionsApply"":false},{""type"":""EXCHANGE"",""applicableType"":null,""doable"":true,""amount"":2394.0,""amountUsd"":0.0,""currencyCode"":""EGP"",""applicability"":""After"",""changeable"":true,""refundable"":false,""cat16Info"":false,""conditionsApply"":false}],""brand"":{""legId"":null,""code"":""MID"",""name"":""MIDDLE EAST ESSENTIALS"",""brandFeatures"":[]},""brandedLegs"":[{""brandedSegments"":[{""bookingCode"":""U"",""cabin"":""ECONOMY"",""programId"":""173182"",""fareBasisCode"":""UOW1S"",""codeShared"":false,""departureAirportCode"":null,""departureDateTime"":""2026-04-24T03:35"",""arrivalAirportCode"":""SAW"",""arrivalDateTime"":""2026-04-24T05:45"",""airlineCode"":""PC"",""flightNumber"":""583""}],""brand"":{""legId"":null,""code"":""MID"",""name"":""MIDDLE EAST ESSENTIALS"",""brandFeatures"":[{""type"":""FREE"",""description"":""CARRY8KG 18LB UPTO 45LI 115LCM""},{""type"":""CHARGEABLE"",""description"":""UPTO22LB 10KG BAGGAGE""},{""type"":""CHARGEABLE"",""description"":""GRILLED MEAT BALLS""},{""type"":""FREE"",""description"":""UPTO44LB 20KG BAGGAGE""},{""type"":""CHARGEABLE"",""description"":""2PCT MILES EARNED""}]}}],""bookingPrice"":{""totalAmount"":6726.89,""totalAmountUsd"":0.0,""baseAmount"":951.09,""taxAmount"":5775.8,""totalBookingFee"":0.0,""bookingFeeRate"":0.0,""commissionAmount"":0.0,""commissionPercentage"":0.0,""adjustedBaseAmountDiff"":null,""currencyCode"":""EGP"",""cat35CommissionAmount"":null,""cat35CommissionPercentage"":null,""cat35MarkupAmount"":null},""vendorPrice"":{""totalAmount"":6520.8,""totalAmountUsd"":0.0,""baseAmount"":745.0,""taxAmount"":5775.8,""totalBookingFee"":0.0,""bookingFeeRate"":0.0,""commissionAmount"":0.0,""commissionPercentage"":0.0,""adjustedBaseAmountDiff"":null,""currencyCode"":""EGP"",""cat35CommissionAmount"":null,""cat35CommissionPercentage"":null,""cat35MarkupAmount"":null},""adultInfo"":{""passengerType"":""ADULT"",""bookingPassengerPrice"":{""price"":{""totalAmount"":6726.8857,""totalAmountUsd"":0.0,""baseAmount"":951.086,""taxAmount"":5775.8,""totalBookingFee"":0.0,""bookingFeeRate"":0.0,""commissionAmount"":0.0,""commissionPercentage"":0.0,""adjustedBaseAmountDiff"":null,""currencyCode"":""EGP"",""cat35CommissionAmount"":null,""cat35CommissionPercentage"":null,""cat35MarkupAmount"":null},""taxes"":[{""code"":""EG3"",""description"":""SOLIDARITY TAX"",""amount"":150.0,""currencyCode"":""EGP""},{""code"":""EQ"",""description"":""SERVICE CHARGE"",""amount"":107.0,""currencyCode"":""EGP""},{""code"":""JK"",""description"":""DEPARTURE FEE"",""amount"":100.0,""currencyCode"":""EGP""},{""code"":""O2"",""description"":""DEPARTURE SERVICE FEE"",""amount"":15.0,""currencyCode"":""EGP""},{""code"":""O9"",""description"":""CUTE CUPPS FEE"",""amount"":54.0,""currencyCode"":""EGP""},{""code"":""Q73"",""description"":""DEVELOPMENT STAMP DUTY TAX"",""amount"":2.0,""currencyCode"":""EGP""},{""code"":""QH"",""description"":""EMBARKATION TAX"",""amount"":1330.0,""currencyCode"":""EGP""},{""code"":""S4"",""description"":""INTERNATIONAL ADVANCED PASSENGER INFORMATION FEE DEPARTURES"",""amount"":106.0,""currencyCode"":""EGP""},{""code"":""XK"",""description"":""DEVELOPMENT FEE"",""amount"":150.0,""currencyCode"":""EGP""},{""code"":""XL"",""description"":""STAMP TAX"",""amount"":10.8,""currencyCode"":""EGP""},{""code"":""YQF"",""description"":""SERVICE FEE - CARRIER-IMPOSED FUEL"",""amount"":3298.0,""currencyCode"":""EGP""},{""code"":""YRF"",""description"":""SERVICE FEE - CARRIER-IMPOSED FUEL"",""amount"":453.0,""currencyCode"":""EGP""}]},""vendorPassengerPrice"":null,""fareBasisCodes"":[[""UOW1S""]],""baggages"":[[[{""type"":""CHECK_IN"",""source"":null,""weight"":20,""unit"":""kg"",""pieceCount"":1,""weightDescription"":null,""dimensionDescription"":null,""noteI18n"":null},{""type"":""CABIN"",""source"":null,""weight"":8,""unit"":""kg"",""pieceCount"":1,""weightDescription"":null,""dimensionDescription"":null,""noteI18n"":null}]]],""penalties"":[],""fees"":[{""type"":""REFUND"",""amount"":500.0,""currencyCode"":""EGP""},{""type"":""EXCHANGE"",""amount"":400.0,""currencyCode"":""EGP""}]},""childInfo"":null,""infantInfo"":null,""userCurrencyCode"":null,""userCurrencyFx"":0.0,""lastTicketDateTime"":null,""createdAt"":null,""attributes"":{""FOP"":""CA/2235292158874046/0626""},""supplierParams"":{""bookingMarginId"":372},""airlineDisclaimers"":null,""currencies"":{""CHF"":0.789223,""MXN"":17.3014,""QAR"":3.640254,""SAR"":3.753582,""ZAR"":16.41806,""INR"":93.10525,""CNY"":6.828,""AUD"":1.415428,""ILS"":3.03394,""KRW"":1484.57,""JPY"":159.24506,""PLN"":3.627503,""GBP"":0.743218,""IDR"":17089.3,""KWD"":0.308802,""TRY"":44.665,""JOD"":0.709,""AED"":3.6725,""HKD"":7.83195,""TWD"":31.741999,""EUR"":0.852769,""CAD"":1.38435,""MYR"":3.965,""USD"":1.0,""EGP"":53.108562,""SGD"":1.2738,""OMR"":0.3845,""PKR"":278.5059,""NZD"":1.713797,""BRL"":5.00635,""BHD"":0.377307},""contentType"":""EDIFACT""},""refToTransactionId"":""aa6c50f6-dd86-4bed-9a6b-85e378bcd12e_ZM2L"",""extraInfoParams"":{""bookingMarginId"":372},""bookingParams"":null,""integrationType"":""SABRE"",""price"":{""totalAmount"":6520.8,""vendorTotalAmount"":6520.8,""currencyCode"":""EGP""},""sourceType"":""NORMAL_CACHE""},""search"":{""searchId"":""ac8c74096bdf95a4msr"",""adultsCount"":1,""childrenCount"":0,""infantsCount"":0,""cabinType"":""ECONOMY"",""siteCode"":""EG"",""locale"":""ar"",""tripType"":""ONEWAY"",""trips"":[{""outboundDate"":""2026-04-24T00:00:00Z[UTC]""}],""appType"":""ANDROID_APP"",""appBuild"":1274600901,""deviceType"":""mobile"",""userLoggedIn"":false,""shopcashClickId"":null,""createdAt"":""2026-04-12T03:44:33.535+08:00[Asia/Singapore]"",""tsCode"":null,""wgInternalCampaign"":"""",""distributionSearch"":false},""passengers"":[{""passengerId"":""ABDELALIM:YA:19780606"",""type"":""ADULT"",""title"":""MR"",""gender"":""MALE"",""firstName"":""ABDELALIM"",""middleName"":null,""lastName"":""YASSEIN"",""dateOfBirth"":""1978-06-06"",""nationalityCountryCode"":""EG"",""passengerDocument"":{""type"":""PASSPORT"",""number"":""A34061938"",""issueDate"":""2026-03-11"",""expiryDate"":""2030-06-03"",""issueCountryCode"":""EG""},""hesCode"":null,""frequentFlyers"":[],""finalTitle"":""MR""}],""userIdHash"":""e04622c365d8b2772b5c1cb76511706e"",""userHash"":""f5b9934ae2a501666f683afc9d31a708""}","[{name=content-type, value=application/json}, {name=accept-encoding, value=gzip,deflate}]","2026-04-11 19:50:10Z","{""status"":""ERROR"",""error"":{""code"":""UNABLE_TO_BOOK_FLIGHTS_WRONG_STATUS_CODE"",""message"":""Flight number: PC0583 returned status code: LL."",""category"":""INVENTORY_UNAVAILABLE"",""metadata"":{}}}","200","4079","INTEGRATION_BOOKING","http://flights-bow-alb.production.us-east-1.bezurk.org/bow/internal/integrations/flights-bow-api/booking",,,"9edeb650-8b1d-39e0-9808-a73334c1bb55","ac8c74096bdf95a4msr:eg.a.wego.com:b943af083b2e5391:ss",,,,,,,,,"20260412"
,,"GET","0",,"[{name=Accept-Language, value=ar}, {name=traceparent, value=00-69daa5f200000000559a92637d3eded4-65a6b7c27bfd9653-00}, {name=tracestate, value=dd=s:0;p:65a6b7c27bfd9653;t.tid:69daa5f200000000}, {name=User-Agent, value=Wego wego-fares}, {name=x-datadog-parent-id, value=7324743889896445523}, {name=x-datadog-sampling-priority, value=0}, {name=x-datadog-tags, value=_dd.p.tid=69daa5f200000000}, {name=x-datadog-trace-id, value=6168403595638005460}, {name=X-Request-ID, value=aa56110c-1f39-4657-863f-b7bdbb8523ce}]","2026-04-11 19:50:15Z","{""createdAt"":""2026-04-11T19:49:57.86534Z"",""approved"":true,""client"":{""name"":""Wego BoW (Flights)""},""partner"":{""name"":""Checkout""},""route"":{""partnerAccount"":{""name"":""Wego Egypt"",""code"":""wego_eg""}},""source"":{""sourceRef"":""s006y2ucvw"",""type"":""Card"",""bin"":""53415255"",""last4"":""0752"",""scheme"":""Mastercard"",""cardType"":""PREPAID"",""cardCategory"":""CONSUMER"",""issuer"":""BANQUE DU CAIRE"",""issuerCountry"":""EG"",""productId"":""MPG"",""productType"":""Prepaid Mastercard Unembossed US"",""name"":""SABER"",""expiryMonth"":4,""expiryYear"":2026},""threeDsEnabled"":true,""method"":{""code"":""masc"",""name"":""Mastercard""},""customer"":{""email"":""mhmdnbylbd6@gmail.com"",""fullName"":""ABDELALIM YASSEIN""},""partnerPaymentRef"":""pay_z3coq6iboaiipn7ltpyeqcnhry"",""status"":""Authorized"",""orderRef"":""WF-DF4F7214-D00D-4E51-B7A2-AF67CCD9C66F"",""paymentRef"":""py609jmwhj"",""siteCode"":""EG"",""currencyCode"":""EGP"",""bookingRef"":""WFSZ3FR9XG726"",""actions"":[{""createdAt"":""2026-04-11T19:49:57.876751Z"",""requestId"":""e29094ca-55bd-4688-8ea4-8573685491ca"",""partnerResponseCode"":""10000"",""partnerResponseText"":""Approved"",""approved"":true,""acquirerMeta"":{""retrievalReference"":""610119266211""},""actionRef"":""a99x9009zxnnbv8"",""orderRef"":""WF-DF4F7214-D00D-4E51-B7A2-AF67CCD9C66F"",""type"":""Authorization"",""amount"":7399.58,""amountInCents"":739958}],""amount"":7399.58,""amountInCents"":739958}","200","35","GET_PAYMENT_DETAILS","https://payments-alb.production.us-east-1.bezurk.org/payments/v1/pm/py609jmwhj","py609jmwhj","py609jmwhj",,"ac8c74096bdf95a4msr:eg.a.wego.com:b943af083b2e5391:ss",,,,,,,,,"20260412"
